"1000","Manber","Civil Eng.","39"
"10033","Zelty","Mech. Eng.","60"
"10076","Duan","Civil Eng.","105"
"1018","Colin","Civil Eng.","81"
"10204","Mediratta","Geology","112"
"10267","Rzecz","Comp. Sci.","5"
"10269","Hilberg","Psychology","75"
"10454","Ugarte","Pol. Sci.","120"
"10481","Grosch","Astronomy","39"
"10527","Kieras","Physics","128"
"10556","Reed","English","79"
"10663","Okaf","Geology","59"
"10693","Zabary","Statistics","111"
"107","Shabuno","Math","19"
"10705","Terauchi","Physics","48"
"10727","Allard","Physics","27"
"10736","Veselovsky","Elec. Eng.","62"
"108","Dhav","Biology","80"
"1080","Xue","Languages","94"
"10814","Waks","Elec. Eng.","56"
"10834","More","Geology","126"
"10838","Marlet","Accounting","91"
"1087","Roses","Accounting","73"
"10904","Jerns","History","21"
"10917","Morales","Cybernetics","54"
"11055","Arnoux","Geology","121"
"11057","Robinson","Marketing","120"
"11076","Prasad","Pol. Sci.","114"
"11083","Kerridge","Statistics","113"
"11095","Schultz","Languages","51"
"1110","Tzeng","Civil Eng.","23"
"11101","Glaho","Cybernetics","119"
"11126","Englund","Pol. Sci.","76"
"11152","Al-Tahat","English","87"
"11194","El-Helw","Pol. Sci.","71"
"11195","Shiang","Cybernetics","62"
"11201","Bianchi","Statistics","0"
"11202","Heckman","Math","120"
"11237","Rokhs","Physics","5"
"11262","Foels","Marketing","117"
"11377","Jr","Accounting","100"
"11419","Geronimo","Civil Eng.","66"
"11422","Saito","Physics","34"
"11441","Betho","Languages","36"
"11453","Yamashita","Astronomy","109"
"11455","Peyse","Athletics","18"
"11510","Rakoj","Mech. Eng.","37"
"11530","Ng","Marketing","92"
"11578","Kwan","Languages","37"
"11604","Neff","Pol. Sci.","39"
